"What are your initials? (First, Middle, Last. Example: Eirik Teller Selles -> ETS)",Are you a student at NTNU?,What is your gender?,What is your age?,"Click this link: Random Number Generator

Navigate to the right side of the page and change the max value to 2. Click generate to create a random number between 1 and 2. Which one is it?",ReusableCup,Feelings,Solve
MMC,No,Female,35+,1,7,6,5
TKK,Yes,Male,25-28,1,9,9,4
ARL,No,Female,35+,1,10,10,10
ADG,No,Male,25-28,1,7,8,10
MTJ,No,Female,35+,1,10,8,5
CB,No,Female,35+,1,1,3,3
TRØ,No,Male,35+,1,5,3,6
AM,No,Female,35+,1,5,8,5
AMG,Yes,Female,21-24,1,9,7,10
DXR,Yes,Male,21-24,1,3,8,1
IØ,Yes,Female,21-24,1,10,1,1
JCM,Yes,Male,25-28,1,5,6,6
Isaac Fred Nandala,Yes,Male,25-28,1,3,10,7
NO,Yes,Female,21-24,1,9,8,9
S.B.,Yes,Male,35+,1,10,6,9
JBD,Yes,Male,21-24,1,9,4,8
AB,No,Female,21-24,1,6,6,8
KPSS,Yes,Female,21-24,1,10,8,8
SS,No,Female,21-24,1,8,5,5
RF,Yes,Male,21-24,1,2,7,3
LMO,Yes,Male,35+,1,1,10,8
